Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Magikarp,Water,Fish Pokémon,0.9,10,1. Swift SwimRattled (hidden ability),255,50,40,Slow,"50% male, 50% female",20,10,55,15,20,80
Gyarados,Water Dark,Atrocious Pokémon,6.5,305,Mold Breaker,45,50,224,Slow,"50% male, 50% female",95,155,109,70,130,81
Lapras,Water Ice,Transport Pokémon,2.5,220,1. Water Absorb2. Shell ArmorHydration (hidden ability),45,50,187,Slow,"50% male, 50% female",130,85,80,85,95,60
Ditto,Normal,Transform Pokémon,0.3,4,1. LimberImposter (hidden ability),35,50,101,Medium Fast,Genderless,48,48,48,48,48,48
Eevee,Normal,Evolution Pokémon,0.3,6.5,Run Away Adaptability,45,50,65,Medium Fast,"87.5% male, 12.5% female",65,75,70,65,85,75
Vaporeon,Water,Bubble Jet Pokémon,1,29,1. Water AbsorbHydration (hidden ability),45,50,184,Medium Fast,"87.5% male, 12.5% female",130,65,60,110,95,65
Jolteon,Electric,Lightning Pokémon,0.8,24.5,1. Volt AbsorbQuick Feet (hidden ability),45,50,184,Medium Fast,"87.5% male, 12.5% female",65,65,60,110,95,130
Flareon,Fire,Flame Pokémon,0.9,25,1. Flash FireGuts (hidden ability),45,50,184,Medium Fast,"87.5% male, 12.5% female",65,130,60,95,110,65
Porygon,Normal,Virtual Pokémon,0.8,36.5,1. Trace2. DownloadAnalytic (hidden ability),45,50,79,Medium Fast,Genderless,65,60,70,85,75,40
Omanyte,Rock Water,Spiral Pokémon,0.4,7.5,1. Swift Swim2. Shell ArmorWeak Armor (hidden ability),45,50,71,Medium Fast,"87.5% male, 12.5% female",35,40,100,90,55,35
Omastar,Rock Water,Spiral Pokémon,1,35,1. Swift Swim2. Shell ArmorWeak Armor (hidden ability),45,50,173,Medium Fast,"87.5% male, 12.5% female",70,60,125,115,70,55
Kabuto,Rock Water,Shellfish Pokémon,0.5,11.5,1. Swift Swim2. Battle ArmorWeak Armor (hidden ability),45,50,71,Medium Fast,"87.5% male, 12.5% female",30,80,90,55,45,55
Kabutops,Rock Water,Shellfish Pokémon,1.3,40.5,1. Swift Swim2. Battle ArmorWeak Armor (hidden ability),45,50,173,Medium Fast,"87.5% male, 12.5% female",60,115,105,65,70,80
Aerodactyl,Rock Flying,Fossil Pokémon,2.1,79,Tough Claws,45,50,215,Slow,"87.5% male, 12.5% female",80,135,85,70,95,150
Snorlax,Normal,Sleeping Pokémon,2.1,460,1. Immunity2. Thick FatGluttony (hidden ability),25,50,189,Slow,"87.5% male, 12.5% female",160,110,65,65,110,30
Articuno,Psychic Flying,Cruel Pokémon,1.7,50.9,Competitive,3,35,290,Slow,Genderless,90,85,85,125,100,95
Zapdos,Fighting Flying,Strong Legs Pokémon,1.6,58.2,Defiant,3,35,290,Slow,Genderless,90,125,90,85,90,100
Moltres,Dark Flying,Malevolent Pokémon,2,66,Berserk,3,35,290,Slow,Genderless,90,85,90,100,125,90
Dratini,Dragon,Dragon Pokémon,1.8,3.3,1. Shed SkinMarvel Scale (hidden ability),45,35,60,Slow,"50% male, 50% female",41,64,45,50,50,50
Dragonair,Dragon,Dragon Pokémon,4,16.5,1. Shed SkinMarvel Scale (hidden ability),45,35,147,Slow,"50% male, 50% female",61,84,65,70,70,70
Dragonite,Dragon Flying,Dragon Pokémon,2.2,210,1. Inner FocusMultiscale (hidden ability),45,35,300,Slow,"50% male, 50% female",91,134,95,100,100,80
Mewtwo,Psychic,Genetic Pokémon,1.5,33,Insomnia,3,0,351,Slow,Genderless,106,150,70,194,120,140
Mew,Psychic,New Species Pokémon,0.4,4,1. Synchronize,45,100,300,Medium Slow,Genderless,100,100,100,100,100,100
Chikorita,Grass,Leaf Pokémon,0.9,6.4,1. OvergrowLeaf Guard (hidden ability),45,50,64,Medium Slow,"87.5% male, 12.5% female",45,49,65,49,65,45
Bayleef,Grass,Leaf Pokémon,1.2,15.8,1. OvergrowLeaf Guard (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",60,62,80,63,80,60
Meganium,Grass,Herb Pokémon,1.8,100.5,1. OvergrowLeaf Guard (hidden ability),45,50,236,Medium Slow,"87.5% male, 12.5% female",80,82,100,83,100,80
Cyndaquil,Fire,Fire Mouse Pokémon,0.5,7.9,1. BlazeFlash Fire (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",39,52,43,60,50,65
Quilava,Fire,Volcano Pokémon,0.9,19,1. BlazeFlash Fire (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",58,64,58,80,65,80
Typhlosion,Fire Ghost,Ghost Flame Pokémon,1.6,69.8,Blaze Frisk,45,50,267,Medium Slow,"87.5% male, 12.5% female",73,84,78,119,85,95
Totodile,Water,Big Jaw Pokémon,0.6,9.5,1. TorrentSheer Force (hidden ability),45,50,63,Medium Slow,"87.5% male, 12.5% female",50,65,64,44,48,43
Croconaw,Water,Big Jaw Pokémon,1.1,25,1. TorrentSheer Force (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",65,80,80,59,63,58
Feraligatr,Water,Big Jaw Pokémon,2.3,88.8,1. TorrentSheer Force (hidden ability),45,50,239,Medium Slow,"87.5% male, 12.5% female",85,105,100,79,83,78
Sentret,Normal,Scout Pokémon,0.8,6,1. Run Away2. Keen EyeFrisk (hidden ability),255,50,43,Medium Fast,"50% male, 50% female",35,46,34,35,45,20
Furret,Normal,Long Body Pokémon,1.8,32.5,1. Run Away2. Keen EyeFrisk (hidden ability),90,50,145,Medium Fast,"50% male, 50% female",85,76,64,45,55,90
Hoothoot,Normal Flying,Owl Pokémon,0.7,21.2,1. Insomnia2. Keen EyeTinted Lens (hidden ability),255,50,52,Medium Fast,"50% male, 50% female",60,30,30,36,56,50
Noctowl,Normal Flying,Owl Pokémon,1.6,40.8,1. Insomnia2. Keen EyeTinted Lens (hidden ability),90,50,158,Medium Fast,"50% male, 50% female",100,50,50,86,96,70
Ledyba,Bug Flying,Five Star Pokémon,1,10.8,1. Swarm2. Early BirdRattled (hidden ability),255,50,53,Fast,"50% male, 50% female",40,20,30,40,80,55
Ledian,Bug Flying,Five Star Pokémon,1.4,35.6,1. Swarm2. Early BirdIron Fist (hidden ability),90,50,137,Fast,"50% male, 50% female",55,35,50,55,110,85
Spinarak,Bug Poison,String Spit Pokémon,0.5,8.5,1. Swarm2. InsomniaSniper (hidden ability),255,50,50,Fast,"50% male, 50% female",40,60,40,40,40,30
Ariados,Bug Poison,Long Leg Pokémon,1.1,33.5,1. Swarm2. InsomniaSniper (hidden ability),90,50,140,Fast,"50% male, 50% female",70,90,70,60,70,40
Crobat,Poison Flying,Bat Pokémon,1.8,75,1. Inner FocusInfiltrator (hidden ability),90,50,241,Medium Fast,"50% male, 50% female",85,90,80,70,80,130
Chinchou,Water Electric,Angler Pokémon,0.5,12,1. Volt Absorb2. IlluminateWater Absorb (hidden ability),190,50,66,Slow,"50% male, 50% female",75,38,38,56,56,67
Lanturn,Water Electric,Light Pokémon,1.2,22.5,1. Volt Absorb2. IlluminateWater Absorb (hidden ability),75,50,161,Slow,"50% male, 50% female",125,58,58,76,76,67
